label,content,clean,norm,stop,token,stem
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
negatif,akun saya tiba tiba menghilang padahal disana ada saldo refund,akun saya tiba tiba menghilang padahal disana ada saldo refund, akun saya tiba tiba menghilang padahal disana ada saldo refund , akun tiba tiba menghilang padahal disana saldo refund ,"['akun', 'tiba', 'tiba', 'menghilang', 'padahal', 'disana', 'saldo', 'refund']",akun tiba tiba hilang padahal sana saldo refund
negatif,Tokopedia barang nya terlengkap di Indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu😂😂😂,tokopedia barang nya terlengkap di indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu, tokopedia barang nya terlengkap di indonesia tapi ada satu hal yang tidak masuk akal ongkir nya sampai 80 ribu , tokopedia barang nya terlengkap indonesia ada satu yang masuk akal ongkir nya 80 ribu ,"['tokopedia', 'barang', 'nya', 'terlengkap', 'indonesia', 'ada', 'satu', 'yang', 'masuk', 'akal', 'ongkir', 'nya', '80', 'ribu']",tokopedia barang nya lengkap indonesia ada satu yang masuk akal ongkir nya 80 ribu
negatif,aplikasinya terlalu berat untuk loading halaman. sering trouble ketika load.,aplikasinya terlalu berat untuk loading halaman sering trouble ketika load, aplikasinya terlalu berat untuk loading halaman sering trouble ketika load , aplikasinya terlalu berat loading halaman sering trouble load ,"['aplikasinya', 'terlalu', 'berat', 'loading', 'halaman', 'sering', 'trouble', 'load']",aplikasi terlalu berat loading halaman sering trouble load
positif,bagus buat usaha samping gan,bagus buat usaha samping gan, bagus buat usaha samping gan , bagus buat usaha samping gan ,"['bagus', 'buat', 'usaha', 'samping', 'gan']",bagus buat usaha samping gan
positif,puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi,puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi, puas dengan pelayanan diskon ongkir nya tapi kecewa dengan multi kurirnya karena suka diluar estimasi , puas pelayanan diskon ongkir nya kecewa multi kurirnya suka diluar estimasi ,"['puas', 'pelayanan', 'diskon', 'ongkir', 'nya', 'kecewa', 'multi', 'kurirnya', 'suka', 'diluar', 'estimasi']",puas layan diskon ongkir nya kecewa multi kurir suka luar estimasi
positif,"Bagus dan oke, tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke.... Siiiip......",bagus dan oke tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke siiiip, bagus dan oke tambah lagi cashbacknya dan lebih murah lagi tapi kwalitas tetap oke siiiip , bagus oke tambah cashbacknya lebih murah tapi kwalitas tetap oke siiiip ,"['bagus', 'oke', 'tambah', 'cashbacknya', 'lebih', 'murah', 'tapi', 'kwalitas', 'tetap', 'oke', 'siiiip']",bagus oke tambah cashbacknya lebih murah tapi kwalitas tetap oke siiiip
netral,assalamualaikum,assalamualaikum, assalamualaikum , assalamualaikum ,['assalamualaikum'],assalamualaikum
negatif,Aplikasi jelek,aplikasi jelek, aplikasi jelek , aplikasi jelek ,"['aplikasi', 'jelek']",aplikasi jelek
netral,saran aj kalau bisa semua produk bisa cod,saran aj kalau bisa semua produk bisa cod, saran aj kalau bisa semua produk bisa cod , saran aj semua produk bisa cod ,"['saran', 'aj', 'semua', 'produk', 'bisa', 'cod']",saran aj semua produk bisa cod
netral,Kenapa ya limit Gopaynya gak bisa di pake,kenapa ya limit gopaynya gak bisa di pake, kenapa ya limit gopaynya tidak bisa di pake , ya limit gopaynya bisa pake ,"['ya', 'limit', 'gopaynya', 'bisa', 'pake']",ya limit gopaynya bisa pake
positif,sangat baik,sangat baik, sangat baik , baik ,['baik'],baik
negatif,"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren",jadi males semenjak merger sma tiktok cuma kasih cashback coin saldo itupun hanya bisa dibelanjain kebarang tertentu berasa dipaksa jadi konsumtif dasar pelit tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren, jadi males semenjak merger sma tiktok cuma kasih cashback coin saldo itupun hanya bisa dibelanjain kebarang tertentu berasa dipaksa jadi konsumtif dasar pelit tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren , jadi males semenjak merger sma tiktok cuma kasih cashback coin saldo itupun bisa dibelanjain kebarang tertentu berasa dipaksa jadi konsumtif dasar pelit tinggal nunggu shallernya migrasi pindah semua nati ketoko oren ,"['jadi', 'males', 'semenjak', 'merger', 'sma', 'tiktok', 'cuma', 'kasih', 'cashback', 'coin', 'saldo', 'itupun', 'bisa', 'dibelanjain', 'kebarang', 'tertentu', 'berasa', 'dipaksa', 'jadi', 'konsumtif', 'dasar', 'pelit', 'tinggal', 'nunggu', 'shallernya', 'migrasi', 'pindah', 'semua', 'nati', 'ketoko', 'oren']",jadi males semenjak merger sma tiktok cuma kasih cashback coin saldo itu bisa dibelanjain barang tentu asa paksa jadi konsumtif dasar pelit tinggal nunggu shallernya migrasi pindah semua nati toko oren
negatif,ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus,ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus, ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus , ngepasin titik lokasi susah gk kaya apk sebelah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus ,"['ngepasin', 'titik', 'lokasi', 'susah', 'gk', 'kaya', 'apk', 'sebelah', 'emosi', 'sendiri', 'ngepasin', 'gk', 'ngepas2', 'pindah2', 'sendiri', 'terus']",ngepasin titik lokasi susah gk kaya apk belah emosi sendiri ngepasin gk ngepas2 pindah2 sendiri terus
negatif,Vouchernya semua PHP,vouchernya semua php, vouchernya semua php , vouchernya semua php ,"['vouchernya', 'semua', 'php']",vouchernya semua php
negatif,barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen 🙏🏻🙏🏻,barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen, barang sesuai yang di beli dan semoga selalu amanah toko nya agar tidak mengecewakan konsumen , barang sesuai di beli semoga selalu amanah toko nya tidak mengecewakan konsumen ,"['barang', 'sesuai', 'di', 'beli', 'semoga', 'selalu', 'amanah', 'toko', 'nya', 'tidak', 'mengecewakan', 'konsumen']",barang sesuai di beli moga selalu amanah toko nya tidak kecewa konsumen
negatif,jangan mau instal tokopedia. banyak penipu nya.istri beli barang blender malah d kirim cassing hp. kan tolol tokped nggak menyaring sellernya bener2. dan sampe sekarang uang tertahan d tokped. seller tidak merespon. tokped aplikasi paling parah yg pernah d pake. jangan pernah instal dan belanja d Tokopedia. banyak penipu nya.,jangan mau instal tokopedia banyak penipu nyaistri beli barang blender malah d kirim cassing hp kan tolol tokped nggak menyaring sellernya bener2 dan sampe sekarang uang tertahan d tokped seller tidak merespon tokped aplikasi paling parah yg pernah d pake jangan pernah instal dan belanja d tokopedia banyak penipu nya, jangan mau instal tokopedia banyak penipu nyaistri beli barang blender malah d kirim cassing hp kan tolol tokped tidak menyaring sellernya bener2 dan sampe sekarang uang tertahan d tokped seller tidak merespon tokped aplikasi paling parah yang pernah d pake jangan pernah instal dan belanja d tokopedia banyak penipu nya , jangan mau instal tokopedia penipu nyaistri beli barang blender malah d kirim cassing hp kan tolol tokped menyaring sellernya bener2 sampe sekarang uang tertahan d tokped seller merespon tokped aplikasi paling parah pernah d pake jangan pernah instal belanja d tokopedia penipu nya ,"['jangan', 'mau', 'instal', 'tokopedia', 'penipu', 'nyaistri', 'beli', 'barang', 'blender', 'malah', 'd', 'kirim', 'cassing', 'hp', 'kan', 'tolol', 'tokped', 'menyaring', 'sellernya', 'bener2', 'sampe', 'sekarang', 'uang', 'tertahan', 'd', 'tokped', 'seller', 'merespon', 'tokped', 'aplikasi', 'paling', 'parah', 'pernah', 'd', 'pake', 'jangan', 'pernah', 'instal', 'belanja', 'd', 'tokopedia', 'penipu', 'nya']",jangan mau instal tokopedia tipu nyaistri beli barang blender malah d kirim cassing hp kan tolol tokped nyaring sellernya bener2 sampe sekarang uang tahan d tokped seller merespon tokped aplikasi paling parah pernah d pake jangan pernah instal belanja d tokopedia tipu nya
netral,"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala",alhamdulillah segala puji bagi allah taala, alhamdulillah segala puji bagi allah taala , alhamdulillah segala puji allah taala ,"['alhamdulillah', 'segala', 'puji', 'allah', 'taala']",alhamdulillah segala puji allah taala
negatif,saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .,saya kena tipu barang di tokopedia sampai saat ini belum ada penanganan kelanjutannya saya hanya minta uang kembali tolong bantu proses, saya kena tipu barang di tokopedia sampai saat ini belum ada penanganan kelanjutannya saya hanya minta uang kembali tolong bantu proses , kena tipu barang tokopedia saat belum penanganan kelanjutannya hanya minta uang tolong bantu proses ,"['kena', 'tipu', 'barang', 'tokopedia', 'saat', 'belum', 'penanganan', 'kelanjutannya', 'hanya', 'minta', 'uang', 'tolong', 'bantu', 'proses']",kena tipu barang tokopedia saat belum tangan lanjut hanya minta uang tolong bantu proses
positif,membantu dalam belanja,membantu dalam belanja, membantu dalam belanja , membantu belanja ,"['membantu', 'belanja']",bantu belanja
netral,baru tgl 22 update masa minta update lagi,baru tgl 22 update masa minta update lagi, baru tgl 22 update masa minta update lagi , tgl 22 update masa minta update ,"['tgl', '22', 'update', 'masa', 'minta', 'update']",tgl 22 update masa minta update
netral,Amanah,amanah, amanah , amanah ,['amanah'],amanah
negatif,"Gratis ongkir tokopedia cuma gimmick, ongkir dibuat 50 rb jakarta ke lampung potongan 20rb. omgkir 30 ya sama aja. mending di sopi real. 0 rupiah. cuma puls 2rb . biaya penanganan. kapok kapok kapok",gratis ongkir tokopedia cuma gimmick ongkir dibuat 50 rb jakarta ke lampung potongan 20rb omgkir 30 ya sama aja mending di sopi real 0 rupiah cuma puls 2rb biaya penanganan kapok kapok kapok, gratis ongkir tokopedia cuma gimmick ongkir dibuat 50 rb jakarta ke lampung potongan 20rb omgkir 30 ya sama aja mending di sopi real 0 rupiah cuma puls 2rb biaya penanganan kapok kapok kapok , gratis ongkir tokopedia cuma gimmick ongkir dibuat 50 rb jakarta lampung potongan 20rb omgkir 30 sama aja mending sopi real 0 rupiah cuma puls 2rb biaya penanganan kapok kapok kapok ,"['gratis', 'ongkir', 'tokopedia', 'cuma', 'gimmick', 'ongkir', 'dibuat', '50', 'rb', 'jakarta', 'lampung', 'potongan', '20rb', 'omgkir', '30', 'sama', 'aja', 'mending', 'sopi', 'real', '0', 'rupiah', 'cuma', 'puls', '2rb', 'biaya', 'penanganan', 'kapok', 'kapok', 'kapok']",gratis ongkir tokopedia cuma gimmick ongkir buat 50 rb jakarta lampung potong 20rb omgkir 30 sama aja mending sopi real 0 rupiah cuma puls 2rb biaya tangan kapok kapok kapok
positif,mantabb,mantabb, mantabb , mantabb ,['mantabb'],mantabb
positif,ok,ok, ok , ,[],
positif,mantab min,mantab min, mantab min , mantab min ,"['mantab', 'min']",mantab min
negatif,kenapa limit dari 16 jtan bisa jadi 3 jt limit saya....alasan nya apa y....padahal ga perna telat pembayaran dan sering di pakai....aneh...banget penilaian dari paylater nya...parah benar,kenapa limit dari 16 jtan bisa jadi 3 jt limit sayaalasan nya apa ypadahal ga perna telat pembayaran dan sering di pakaianehbanget penilaian dari paylater nyaparah benar, kenapa limit dari 16 jtan bisa jadi 3 jt limit sayaalasan nya apa ypadahal tidak perna telat pembayaran dan sering di pakaianehbanget penilaian dari paylater nyaparah benar , limit 16 jtan jadi 3 jt limit sayaalasan nya ypadahal perna telat pembayaran sering pakaianehbanget penilaian paylater nyaparah benar ,"['limit', '16', 'jtan', 'jadi', '3', 'jt', 'limit', 'sayaalasan', 'nya', 'ypadahal', 'perna', 'telat', 'pembayaran', 'sering', 'pakaianehbanget', 'penilaian', 'paylater', 'nyaparah', 'benar']",limit 16 jtan jadi 3 jt limit sayaalasan nya ypadahal perna telat bayar sering pakaianehbanget nilai paylater nyaparah benar
negatif,sampah neh aplikasi. najis belanja disini lagi,sampah neh aplikasi najis belanja disini lagi, sampah neh aplikasi najis belanja disini lagi , sampah neh aplikasi najis belanja disini ,"['sampah', 'neh', 'aplikasi', 'najis', 'belanja', 'disini']",sampah neh aplikasi najis belanja sini
netral,membuat kita muda untuk mencari barang yg kita perlukan,membuat kita muda untuk mencari barang yg kita perlukan, membuat kita muda untuk mencari barang yang kita perlukan , membuat muda mencari barang kita perlukan ,"['membuat', 'muda', 'mencari', 'barang', 'kita', 'perlukan']",buat muda cari barang kita perlu
negatif,"gila tokped narik dana ke rekening hampir berhari""dari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastian.KAPOKKKKKKKKKK",gila tokped narik dana ke rekening hampir berharidari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastiankapokkkkkkkkkk, gila tokped narik dana ke rekening hampir berharidari tanggal 27 tidak ada kepastian tidak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya tidak ada kepastiankapokkkkkkkkkk , gila tokped narik dana rekening hampir berharidari tanggal 27 kepastian juga masukk gimana tanggung jawabnya hampir 12 juta dana tidak ada kepastiankapokkkkkkkkkk ,"['gila', 'tokped', 'narik', 'dana', 'rekening', 'hampir', 'berharidari', 'tanggal', '27', 'kepastian', 'juga', 'masukk', 'gimana', 'tanggung', 'jawabnya', 'hampir', '12', 'juta', 'dana', 'tidak', 'ada', 'kepastiankapokkkkkkkkkk']",gila tokped narik dana rekening hampir berharidari tanggal 27 pasti juga masukk gimana tanggung jawab hampir 12 juta dana tidak ada kepastiankapokkkkkkkkkk
negatif,gabisa di buka apk nya,gabisa di buka apk nya, gabisa di buka apk nya , gabisa buka apk nya ,"['gabisa', 'buka', 'apk', 'nya']",gabisa buka apk nya
negatif,"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila",sekarang harga barang mahal ongkir mahal mending oren harga barang lebih murah gratis ongkir tokped paylater bunga gila, sekarang harga barang mahal ongkir mahal mending oren harga barang lebih murah gratis ongkir tokped paylater bunga gila , sekarang harga barang mahal ongkir mahal mending oren harga barang murah gratis ongkir tokped paylater bunga gila ,"['sekarang', 'harga', 'barang', 'mahal', 'ongkir', 'mahal', 'mending', 'oren', 'harga', 'barang', 'murah', 'gratis', 'ongkir', 'tokped', 'paylater', 'bunga', 'gila']",sekarang harga barang mahal ongkir mahal mending oren harga barang murah gratis ongkir tokped paylater bunga gila
negatif,Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih,mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses terimakasih, mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses terimakasih , mohon perbaikan beli pulsa terus pake voucher diskon aplikasi bisa memproses terimakasih ,"['mohon', 'perbaikan', 'beli', 'pulsa', 'terus', 'pake', 'voucher', 'diskon', 'aplikasi', 'bisa', 'memproses', 'terimakasih']",mohon baik beli pulsa terus pake voucher diskon aplikasi bisa proses terimakasih
positif,Mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,"sering tiba tiba Hank ..hitam , Mau buka ulasan diarahkaan ke update ,tapi update tidak ada , kenapa tidak bisa buka ulasan ? Sistem transaksi 👍 ,tapi aplikasi ' sangat tidak bagus' ,sebelum update ,sangat lelet setelah update ,tidak bisa buka ulasan , cari programer yang benar kenapa ?, tetap tidak bisa buka semua ulasan .. 16-8-2025 Sekarang klau lagi,slide slide lama suka Hank ...., gelap dan sangat lama,kalau ditutup ,buka dari awal lagi ,toko yang lagi dilihat lupa ..hilang .",sering tiba tiba hank hitam mau buka ulasan diarahkaan ke update tapi update tidak ada kenapa tidak bisa buka ulasan sistem transaksi tapi aplikasi sangat tidak bagus sebelum update sangat lelet setelah update tidak bisa buka ulasan cari programer yang benar kenapa tetap tidak bisa buka semua ulasan 1682025 sekarang klau lagislide slide lama suka hank gelap dan sangat lamakalau ditutup buka dari awal lagi toko yang lagi dilihat lupa hilang, sering tiba tiba hank hitam mau buka ulasan diarahkaan ke update tapi update tidak ada kenapa tidak bisa buka ulasan sistem transaksi tapi aplikasi sangat tidak bagus sebelum update sangat lelet setelah update tidak bisa buka ulasan cari programer yang benar kenapa tetap tidak bisa buka semua ulasan 1682025 sekarang klau lagislide slide lama suka hank gelap dan sangat lamakalau ditutup buka dari awal lagi toko yang lagi dilihat lupa hilang , sering tiba tiba hank hitam mau buka ulasan diarahkaan update update ada buka ulasan sistem transaksi aplikasi bagus update lelet update tidak bisa buka ulasan cari programer benar tetap tidak bisa buka semua ulasan 1682025 sekarang klau lagislide slide lama suka hank gelap sangat lamakalau ditutup buka awal toko lagi dilihat lupa hilang ,"['sering', 'tiba', 'tiba', 'hank', 'hitam', 'mau', 'buka', 'ulasan', 'diarahkaan', 'update', 'update', 'ada', 'buka', 'ulasan', 'sistem', 'transaksi', 'aplikasi', 'bagus', 'update', 'lelet', 'update', 'tidak', 'bisa', 'buka', 'ulasan', 'cari', 'programer', 'benar', 'tetap', 'tidak', 'bisa', 'buka', 'semua', 'ulasan', '1682025', 'sekarang', 'klau', 'lagislide', 'slide', 'lama', 'suka', 'hank', 'gelap', 'sangat', 'lamakalau', 'ditutup', 'buka', 'awal', 'toko', 'lagi', 'dilihat', 'lupa', 'hilang']",sering tiba tiba hank hitam mau buka ulas diarahkaan update update ada buka ulas sistem transaksi aplikasi bagus update lelet update tidak bisa buka ulas cari programer benar tetap tidak bisa buka semua ulas 1682025 sekarang klau lagislide slide lama suka hank gelap sangat lamakalau tutup buka awal toko lagi lihat lupa hilang
netral,Kenapa ongkir di halaman produk dan di halaman check out beda ya,kenapa ongkir di halaman produk dan di halaman check out beda ya, kenapa ongkir di halaman produk dan di halaman check out beda ya , ongkir halaman produk di halaman check out beda ,"['ongkir', 'halaman', 'produk', 'di', 'halaman', 'check', 'out', 'beda']",ongkir halaman produk di halaman check out beda
negatif,"parah, pindah aja ke toko oren shope",parah pindah aja ke toko oren shope, parah pindah aja ke toko oren shope , parah pindah aja toko oren shope ,"['parah', 'pindah', 'aja', 'toko', 'oren', 'shope']",parah pindah aja toko oren shope
negatif,Nipu harganya berubah seenak developernya,nipu harganya berubah seenak developernya, nipu harganya berubah seenak developernya , nipu harganya berubah seenak developernya ,"['nipu', 'harganya', 'berubah', 'seenak', 'developernya']",nipu harga ubah enak developer
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
negatif,"Jelek, harga berubah ketika mau pesan barang",jelek harga berubah ketika mau pesan barang, jelek harga berubah ketika mau pesan barang , jelek harga berubah mau pesan barang ,"['jelek', 'harga', 'berubah', 'mau', 'pesan', 'barang']",jelek harga ubah mau pesan barang
negatif,ribet,ribet, ribet , ribet ,['ribet'],ribet
negatif,"gw beli barang dari official store sdh sebulan lebih barang kgk nyampai. Sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakan,pdahal di aplikasi barang masih nyangkut. Sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka. Lemah perlindungan pada konsumen, mau ngelindungi maling bos ? aplikasi tolol",gw beli barang dari official store sdh sebulan lebih barang kgk nyampai sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakanpdahal di aplikasi barang masih nyangkut sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka lemah perlindungan pada konsumen mau ngelindungi maling bos aplikasi tolol, gw beli barang dari official store sdh sebulan lebih barang kgk nyampai sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakanpdahal di aplikasi barang masih nyangkut sdh sebulan lebih phk tokped tidak bs ngasih bukti barang sdh diterima sperti janji mereka lemah perlindungan pada konsumen mau ngelindungi maling bos aplikasi tolol , gw beli barang official store sdh sebulan barang kgk nyampai sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima dikirim bukti pelacakanpdahal aplikasi barang nyangkut sdh sebulan phk tokped bs ngasih bukti barang sdh diterima sperti janji lemah perlindungan konsumen mau ngelindungi maling bos aplikasi tolol ,"['gw', 'beli', 'barang', 'official', 'store', 'sdh', 'sebulan', 'barang', 'kgk', 'nyampai', 'sdh', 'ajukan', 'komplen', 'ditolak', 'sm', 'pihak', 'tokped', 'dgn', 'alasan', 'barang', 'sdh', 'diterima', 'dikirim', 'bukti', 'pelacakanpdahal', 'aplikasi', 'barang', 'nyangkut', 'sdh', 'sebulan', 'phk', 'tokped', 'bs', 'ngasih', 'bukti', 'barang', 'sdh', 'diterima', 'sperti', 'janji', 'lemah', 'perlindungan', 'konsumen', 'mau', 'ngelindungi', 'maling', 'bos', 'aplikasi', 'tolol']",gw beli barang official store sdh bulan barang kgk nyampai sdh aju komplen tolak sm pihak tokped dgn alas barang sdh terima kirim bukti pelacakanpdahal aplikasi barang nyangkut sdh bulan phk tokped bs ngasih bukti barang sdh terima sperti janji lemah lindung konsumen mau ngelindungi maling bos aplikasi tolol
positif,produk nya aslinya suka banget dengan Tokopedia,produk nya aslinya suka banget dengan tokopedia, produk nya aslinya suka banget dengan tokopedia , produk nya aslinya suka banget tokopedia ,"['produk', 'nya', 'aslinya', 'suka', 'banget', 'tokopedia']",produk nya asli suka banget tokopedia
positif,oke terbaik,oke terbaik, oke terbaik , oke terbaik ,"['oke', 'terbaik']",oke baik
negatif,layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan,layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan, layanan multi kurir yang kacau lama banget sampe barang banyak di pindah tangan , layanan multi kurir kacau lama banget sampe barang di pindah tangan ,"['layanan', 'multi', 'kurir', 'kacau', 'lama', 'banget', 'sampe', 'barang', 'di', 'pindah', 'tangan']",layan multi kurir kacau lama banget sampe barang di pindah tangan
negatif,Sering minta update terus.... Sedangkan Performa biasa saja.,sering minta update terus sedangkan performa biasa saja, sering minta update terus sedangkan performa biasa saja , sering minta update terus performa biasa ,"['sering', 'minta', 'update', 'terus', 'performa', 'biasa']",sering minta update terus performa biasa
negatif,"Semenjak dijual,bukannya nambah bagus malah makin bobrok Csnya makin parah Goodbye tokped",semenjak dijualbukannya nambah bagus malah makin bobrok csnya makin parah goodbye tokped, semenjak dijualbukannya nambah bagus malah makin bobrok csnya makin parah goodbye tokped , semenjak dijualbukannya nambah bagus malah makin bobrok csnya makin parah goodbye tokped ,"['semenjak', 'dijualbukannya', 'nambah', 'bagus', 'malah', 'makin', 'bobrok', 'csnya', 'makin', 'parah', 'goodbye', 'tokped']",semenjak dijualbukannya nambah bagus malah makin bobrok csnya makin parah goodbye tokped
positif,top,top, top , top ,['top'],top
