label,content,clean,norm,stop,token,stem
positif,"aku sangat senang dan suka memakai shopee, sudah pakai sejak awal2 muncul, namun.... sangat di sayangkan, spailater dan spinjamnya TIDAK BERTAMBAH2 JUGA😅😅, mohon berikan limit yg baik karna saya sebagai pengguna sangat sadar dan tdk pernah mengalami denda. 🙏🙏 sukses selalu keranjang orange.",aku sangat senang dan suka memakai shopee sudah pakai sejak awal2 muncul namun sangat di sayangkan spailater dan spinjamnya tidak bertambah2 juga mohon berikan limit yg baik karna saya sebagai pengguna sangat sadar dan tdk pernah mengalami denda sukses selalu keranjang orange, aku sangat senang dan suka memakai shopee sudah pakai sejak awal2 muncul namun sangat di sayangkan spailater dan spinjamnya tidak bertambah2 juga mohon berikan limit yang baik karna saya sebagai pengguna sangat sadar dan tidak pernah mengalami denda sukses selalu keranjang orange , aku senang suka memakai shopee pakai sejak awal2 muncul sayangkan spailater spinjamnya bertambah2 mohon berikan limit baik karna sebagai pengguna sangat sadar tidak pernah mengalami denda sukses selalu keranjang orange ,"['aku', 'senang', 'suka', 'memakai', 'shopee', 'pakai', 'sejak', 'awal2', 'muncul', 'sayangkan', 'spailater', 'spinjamnya', 'bertambah2', 'mohon', 'berikan', 'limit', 'baik', 'karna', 'sebagai', 'pengguna', 'sangat', 'sadar', 'tidak', 'pernah', 'mengalami', 'denda', 'sukses', 'selalu', 'keranjang', 'orange']",aku senang suka pakai shopee pakai sejak awal2 muncul sayang spailater spinjamnya bertambah2 mohon ikan limit baik karna bagai guna sangat sadar tidak pernah alami denda sukses selalu keranjang orange
positif,ok siapp,ok siapp, ok siapp , siapp ,['siapp'],siapp
positif,suka banget kalo ongkir 0 rupiah .. semangat terus Sophee sukses selalu..❤️,suka banget kalo ongkir 0 rupiah semangat terus sophee sukses selalu, suka banget kalo ongkir 0 rupiah semangat terus sophee sukses selalu , suka banget kalo ongkir 0 rupiah semangat terus sophee sukses selalu ,"['suka', 'banget', 'kalo', 'ongkir', '0', 'rupiah', 'semangat', 'terus', 'sophee', 'sukses', 'selalu']",suka banget kalo ongkir 0 rupiah semangat terus sophee sukses selalu
positif,"selama saya menggunakan apk ini puas, dan saya sering pakai cara pembayaran COD karna gak ribet",selama saya menggunakan apk ini puas dan saya sering pakai cara pembayaran cod karna gak ribet, selama saya menggunakan apk ini puas dan saya sering pakai cara pembayaran cod karna tidak ribet , selama menggunakan apk puas saya sering pakai cara pembayaran cod karna ribet ,"['selama', 'menggunakan', 'apk', 'puas', 'saya', 'sering', 'pakai', 'cara', 'pembayaran', 'cod', 'karna', 'ribet']",lama guna apk puas saya sering pakai cara bayar cod karna ribet
positif,ok,ok, ok , ,[],
positif,ok,ok, ok , ,[],
positif,puas bngt sich,puas bngt sich, puas bngt sich , puas bngt sich ,"['puas', 'bngt', 'sich']",puas bngt sich
positif,mantap baget hargaya,mantap baget hargaya, mantap baget hargaya , mantap baget hargaya ,"['mantap', 'baget', 'hargaya']",mantap baget hargaya
positif,sanggat membantu,sanggat membantu, sanggat membantu , sanggat membantu ,"['sanggat', 'membantu']",sanggat bantu
positif,"UP GRADEnya keren sangat membantu ,👌",up gradenya keren sangat membantu, up gradenya keren sangat membantu , up gradenya keren membantu ,"['up', 'gradenya', 'keren', 'membantu']",up gradenya keren bantu
positif,rekomendasi banget banyak diskonya,rekomendasi banget banyak diskonya, rekomendasi banget banyak diskonya , rekomendasi banget diskonya ,"['rekomendasi', 'banget', 'diskonya']",rekomendasi banget disko
netral,yayayayab,yayayayab, yayayayab , yayayayab ,['yayayayab'],yayayayab
positif,sangat berguna.,sangat berguna, sangat berguna , berguna ,['berguna'],guna
positif,shopee mantap deh,shopee mantap deh, shopee mantap deh , shopee mantap deh ,"['shopee', 'mantap', 'deh']",shopee mantap deh
positif,trimakasi,trimakasi, trimakasi , trimakasi ,['trimakasi'],trimakasi
positif,barang sudah d trima Alhamdulillah sesuai dg pesanan,barang sudah d trima alhamdulillah sesuai dg pesanan, barang sudah d trima alhamdulillah sesuai dg pesanan , barang d trima alhamdulillah sesuai dg pesanan ,"['barang', 'd', 'trima', 'alhamdulillah', 'sesuai', 'dg', 'pesanan']",barang d trima alhamdulillah sesuai dg pesan
positif,terimakasih akhirnya akun saya dapat digunakan kembali 🙏🏻,terimakasih akhirnya akun saya dapat digunakan kembali, terimakasih akhirnya akun saya dapat digunakan kembali , terimakasih akhirnya akun dapat digunakan ,"['terimakasih', 'akhirnya', 'akun', 'dapat', 'digunakan']",terimakasih akhir akun dapat guna
positif,pesanan sesuwai,pesanan sesuwai, pesanan sesuwai , pesanan sesuwai ,"['pesanan', 'sesuwai']",pesan sesuwai
positif,Belanja menjadi sangat mudah melalui Shopee,belanja menjadi sangat mudah melalui shopee, belanja menjadi sangat mudah melalui shopee , belanja menjadi mudah melalui shopee ,"['belanja', 'menjadi', 'mudah', 'melalui', 'shopee']",belanja jadi mudah lalu shopee
positif,pengiriman cepat ulasan barang terlihat jelas jadi pembeli bisa memilih yang terbaik,pengiriman cepat ulasan barang terlihat jelas jadi pembeli bisa memilih yang terbaik, pengiriman cepat ulasan barang terlihat jelas jadi pembeli bisa memilih yang terbaik , pengiriman cepat ulasan barang terlihat jelas jadi pembeli memilih terbaik ,"['pengiriman', 'cepat', 'ulasan', 'barang', 'terlihat', 'jelas', 'jadi', 'pembeli', 'memilih', 'terbaik']",kirim cepat ulas barang lihat jelas jadi beli pilih baik
positif,terimakasih sangat membantu sya belanja,terimakasih sangat membantu sya belanja, terimakasih sangat membantu sya belanja , terimakasih membantu sya belanja ,"['terimakasih', 'membantu', 'sya', 'belanja']",terimakasih bantu sya belanja
positif,sanat bagus untuk yang suka belanja online,sanat bagus untuk yang suka belanja online, sanat bagus untuk yang suka belanja online , sanat bagus yang suka belanja online ,"['sanat', 'bagus', 'yang', 'suka', 'belanja', 'online']",sanat bagus yang suka belanja online
negatif,kenapa kalo iklan di game selalu di paksain masuk pley store itu sangat ga enak,kenapa kalo iklan di game selalu di paksain masuk pley store itu sangat ga enak, kenapa kalo iklan di game selalu di paksain masuk pley store itu sangat tidak enak , kalo iklan game selalu paksain masuk pley store sangat enak ,"['kalo', 'iklan', 'game', 'selalu', 'paksain', 'masuk', 'pley', 'store', 'sangat', 'enak']",kalo iklan game selalu paksain masuk pley store sangat enak
negatif,iklan anj,iklan anj, iklan anj , iklan anj ,"['iklan', 'anj']",iklan anj
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
positif,sangat membantu,sangat membantu, sangat membantu , membantu ,['membantu'],bantu
positif,ok,ok, ok , ,[],
positif,mantap aplikasi yang banyak diskon dan jadi mudah segalanya..,mantap aplikasi yang banyak diskon dan jadi mudah segalanya, mantap aplikasi yang banyak diskon dan jadi mudah segalanya , mantap aplikasi banyak diskon jadi mudah segalanya ,"['mantap', 'aplikasi', 'banyak', 'diskon', 'jadi', 'mudah', 'segalanya']",mantap aplikasi banyak diskon jadi mudah segala
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,"sangat sangat membantu , dan bisa juga buat kita banding banding harga",sangat sangat membantu dan bisa juga buat kita banding banding harga, sangat sangat membantu dan bisa juga buat kita banding banding harga , sangat membantu bisa buat banding banding harga ,"['sangat', 'membantu', 'bisa', 'buat', 'banding', 'banding', 'harga']",sangat bantu bisa buat banding banding harga
positif,ok,ok, ok , ,[],
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,iklan Mulu lu anjiing,iklan mulu lu anjiing, iklan mulu lu anjiing , iklan mulu lu anjiing ,"['iklan', 'mulu', 'lu', 'anjiing']",iklan mulu lu anjiing
positif,"Belanja secara online? di Shopee sj, memuaskan dan tdk mengecewakan, pengembalian dana juga baik jika ada barang yang tdk sesuai dgn apa yg kita lihat di iklannya.. Belanja??? di Shopee aja...",belanja secara online di shopee sj memuaskan dan tdk mengecewakan pengembalian dana juga baik jika ada barang yang tdk sesuai dgn apa yg kita lihat di iklannya belanja di shopee aja, belanja secara online di shopee sj memuaskan dan tidak mengecewakan pengembalian dana juga baik jika ada barang yang tidak sesuai dgn apa yang kita lihat di iklannya belanja di shopee aja , belanja online shopee sj memuaskan tidak mengecewakan pengembalian dana baik ada barang tidak sesuai dgn yang lihat iklannya belanja shopee aja ,"['belanja', 'online', 'shopee', 'sj', 'memuaskan', 'tidak', 'mengecewakan', 'pengembalian', 'dana', 'baik', 'ada', 'barang', 'tidak', 'sesuai', 'dgn', 'yang', 'lihat', 'iklannya', 'belanja', 'shopee', 'aja']",belanja online shopee sj muas tidak kecewa kembali dana baik ada barang tidak sesuai dgn yang lihat iklan belanja shopee aja
positif,shopee mantap banyak gratis ongkir walaupun belanja sedikit..tingkatkan terus ya,shopee mantap banyak gratis ongkir walaupun belanja sedikittingkatkan terus ya, shopee mantap banyak gratis ongkir walaupun belanja sedikittingkatkan terus ya , shopee mantap gratis ongkir walaupun belanja sedikittingkatkan terus ,"['shopee', 'mantap', 'gratis', 'ongkir', 'walaupun', 'belanja', 'sedikittingkatkan', 'terus']",shopee mantap gratis ongkir walaupun belanja sedikittingkatkan terus
negatif,"cih aku pesan barang lama banget ,pas aku beli barang gak sesuai expetasi ngebuat kastemer kecewa.",cih aku pesan barang lama banget pas aku beli barang gak sesuai expetasi ngebuat kastemer kecewa, cih aku pesan barang lama banget pas aku beli barang tidak sesuai expetasi ngebuat kastemer kecewa , cih aku pesan barang lama banget pas aku beli barang sesuai expetasi ngebuat kastemer kecewa ,"['cih', 'aku', 'pesan', 'barang', 'lama', 'banget', 'pas', 'aku', 'beli', 'barang', 'sesuai', 'expetasi', 'ngebuat', 'kastemer', 'kecewa']",cih aku pesan barang lama banget pas aku beli barang sesuai expetasi ngebuat kastemer kecewa
positif,Makin mantap,makin mantap, makin mantap , makin mantap ,"['makin', 'mantap']",makin mantap
positif,mudahan rezekinya,mudahan rezekinya, mudahan rezekinya , mudahan rezekinya ,"['mudahan', 'rezekinya']",mudah rezeki
positif,keren aplikasi shope mudah berbelanja tanpa harus keluar rumah sukses selalu,keren aplikasi shope mudah berbelanja tanpa harus keluar rumah sukses selalu, keren aplikasi shope mudah berbelanja tanpa harus keluar rumah sukses selalu , keren aplikasi shope mudah berbelanja harus keluar rumah sukses selalu ,"['keren', 'aplikasi', 'shope', 'mudah', 'berbelanja', 'harus', 'keluar', 'rumah', 'sukses', 'selalu']",keren aplikasi shope mudah belanja harus keluar rumah sukses selalu
positif,oke,oke, oke , oke ,['oke'],oke
positif,Pokoke oke,pokoke oke, pokoke oke , pokoke oke ,"['pokoke', 'oke']",pokoke oke
netral,"bissmillah semoga bisa membantu sy dlm berbelanja on line, bisa bantu sy dlm menjalankan usaha yg sedang sy jalankan",bissmillah semoga bisa membantu sy dlm berbelanja on line bisa bantu sy dlm menjalankan usaha yg sedang sy jalankan, bissmillah semoga bisa membantu sy dlm berbelanja on line bisa bantu sy dlm menjalankan usaha yang sedang sy jalankan , bissmillah semoga membantu sy dlm berbelanja on line bantu sy dlm menjalankan usaha sedang sy jalankan ,"['bissmillah', 'semoga', 'membantu', 'sy', 'dlm', 'berbelanja', 'on', 'line', 'bantu', 'sy', 'dlm', 'menjalankan', 'usaha', 'sedang', 'sy', 'jalankan']",bissmillah moga bantu sy dlm belanja on line bantu sy dlm jalan usaha sedang sy jalan
netral,lumayan,lumayan, lumayan , lumayan ,['lumayan'],lumayan
netral,"Aplikasi trbaik, tapi sulit dibuka, berhari-hari g Bisa dibuka,mau belanja jadi sulit, admin mohon perbaikannya, g seperti shoppepay offline aja bisa dibuka apalagi online, cuma Shopee yg sulit dibuka g seperti aplikasi lainnya",aplikasi trbaik tapi sulit dibuka berharihari g bisa dibukamau belanja jadi sulit admin mohon perbaikannya g seperti shoppepay offline aja bisa dibuka apalagi online cuma shopee yg sulit dibuka g seperti aplikasi lainnya, aplikasi trbaik tapi sulit dibuka berharihari g bisa dibukamau belanja jadi sulit admin mohon perbaikannya g seperti shoppepay offline aja bisa dibuka apalagi online cuma shopee yang sulit dibuka g seperti aplikasi lainnya , aplikasi trbaik sulit dibuka berharihari g dibukamau belanja jadi sulit admin mohon perbaikannya g shoppepay offline aja dibuka online cuma shopee sulit dibuka g aplikasi lainnya ,"['aplikasi', 'trbaik', 'sulit', 'dibuka', 'berharihari', 'g', 'dibukamau', 'belanja', 'jadi', 'sulit', 'admin', 'mohon', 'perbaikannya', 'g', 'shoppepay', 'offline', 'aja', 'dibuka', 'online', 'cuma', 'shopee', 'sulit', 'dibuka', 'g', 'aplikasi', 'lainnya']",aplikasi trbaik sulit buka berharihari g dibukamau belanja jadi sulit admin mohon baik g shoppepay offline aja buka online cuma shopee sulit buka g aplikasi lain
negatif,"pesanan bukan cod barang belum sampai tp keterangan sudah sampai ditrima yg bersangkutan, ga ada konfirmasi ap2 lewat wa, giliran komplain katanya demi target, iya karna kalau keterlambatan ga sesuai estimasi costomer dapat vocer 10.000 tp kalau sesuai costomer ga dapat vocer makanya status diubah sampai biar shopee ga rugi ngasih vocer 10.000 ke pelanggan, bukan soal 10.000 ribu tp soal kejujuran..",pesanan bukan cod barang belum sampai tp keterangan sudah sampai ditrima yg bersangkutan ga ada konfirmasi ap2 lewat wa giliran komplain katanya demi target iya karna kalau keterlambatan ga sesuai estimasi costomer dapat vocer 10000 tp kalau sesuai costomer ga dapat vocer makanya status diubah sampai biar shopee ga rugi ngasih vocer 10000 ke pelanggan bukan soal 10000 ribu tp soal kejujuran, pesanan bukan cod barang belum sampai tp keterangan sudah sampai ditrima yang bersangkutan tidak ada konfirmasi ap2 lewat wa giliran komplain katanya demi target iya karna kalau keterlambatan tidak sesuai estimasi costomer dapat vocer 10000 tp kalau sesuai costomer tidak dapat vocer makanya status diubah sampai biar shopee tidak rugi ngasih vocer 10000 ke pelanggan bukan soal 10000 ribu tp soal kejujuran , pesanan cod barang tp keterangan sampai ditrima bersangkutan ada konfirmasi ap2 lewat wa giliran komplain katanya target iya karna keterlambatan sesuai estimasi costomer vocer 10000 tp sesuai costomer dapat vocer makanya status diubah sampai biar shopee rugi ngasih vocer 10000 pelanggan soal 10000 ribu tp soal kejujuran ,"['pesanan', 'cod', 'barang', 'tp', 'keterangan', 'sampai', 'ditrima', 'bersangkutan', 'ada', 'konfirmasi', 'ap2', 'lewat', 'wa', 'giliran', 'komplain', 'katanya', 'target', 'iya', 'karna', 'keterlambatan', 'sesuai', 'estimasi', 'costomer', 'vocer', '10000', 'tp', 'sesuai', 'costomer', 'dapat', 'vocer', 'makanya', 'status', 'diubah', 'sampai', 'biar', 'shopee', 'rugi', 'ngasih', 'vocer', '10000', 'pelanggan', 'soal', '10000', 'ribu', 'tp', 'soal', 'kejujuran']",pesan cod barang tp terang sampai ditrima sangkut ada konfirmasi ap2 lewat wa gilir komplain kata target iya karna lambat sesuai estimasi costomer vocer 10000 tp sesuai costomer dapat vocer makanya status ubah sampai biar shopee rugi ngasih vocer 10000 langgan soal 10000 ribu tp soal jujur
positif,mantap..pelayanan sangat ok..barang yg d pesen semua pick..sesuai..mantap,mantappelayanan sangat okbarang yg d pesen semua picksesuaimantap, mantappelayanan sangat okbarang yang d pesen semua picksesuaimantap , mantappelayanan okbarang d pesen semua picksesuaimantap ,"['mantappelayanan', 'okbarang', 'd', 'pesen', 'semua', 'picksesuaimantap']",mantappelayanan okbarang d sen semua picksesuaimantap
netral,"aplikasi nya bagus bagus aja cuman kalo buka link/atau mau download sesuatu tiba tiba aplikasinya kebuka sendiri. plis deh ga semua orang kudu beli barang di shopee buru buru. aku mau buka link susah, buka chrome susah tiba tiba muncul aplikasi ini sendirinya ke buka. benerin lagi deh pengiklanannya plis jangan tiba tiba buka pas orang lagi sibuk sibuknya. ngeselin",aplikasi nya bagus bagus aja cuman kalo buka linkatau mau download sesuatu tiba tiba aplikasinya kebuka sendiri plis deh ga semua orang kudu beli barang di shopee buru buru aku mau buka link susah buka chrome susah tiba tiba muncul aplikasi ini sendirinya ke buka benerin lagi deh pengiklanannya plis jangan tiba tiba buka pas orang lagi sibuk sibuknya ngeselin, aplikasi nya bagus bagus aja cuman kalo buka linkatau mau download sesuatu tiba tiba aplikasinya kebuka sendiri plis deh tidak semua orang kudu beli barang di shopee buru buru aku mau buka link susah buka chrome susah tiba tiba muncul aplikasi ini sendirinya ke buka benerin lagi deh pengiklanannya plis jangan tiba tiba buka pas orang lagi sibuk sibuknya ngeselin , aplikasi nya bagus bagus aja cuman kalo buka linkatau mau download tiba tiba aplikasinya kebuka sendiri plis deh semua orang kudu beli barang shopee buru buru aku mau buka link susah buka chrome susah tiba tiba muncul aplikasi sendirinya buka benerin deh pengiklanannya plis jangan tiba tiba buka pas orang sibuk sibuknya ngeselin ,"['aplikasi', 'nya', 'bagus', 'bagus', 'aja', 'cuman', 'kalo', 'buka', 'linkatau', 'mau', 'download', 'tiba', 'tiba', 'aplikasinya', 'kebuka', 'sendiri', 'plis', 'deh', 'semua', 'orang', 'kudu', 'beli', 'barang', 'shopee', 'buru', 'buru', 'aku', 'mau', 'buka', 'link', 'susah', 'buka', 'chrome', 'susah', 'tiba', 'tiba', 'muncul', 'aplikasi', 'sendirinya', 'buka', 'benerin', 'deh', 'pengiklanannya', 'plis', 'jangan', 'tiba', 'tiba', 'buka', 'pas', 'orang', 'sibuk', 'sibuknya', 'ngeselin']",aplikasi nya bagus bagus aja cuman kalo buka linkatau mau download tiba tiba aplikasi buka sendiri plis deh semua orang kudu beli barang shopee buru buru aku mau buka link susah buka chrome susah tiba tiba muncul aplikasi sendiri buka benerin deh iklan plis jangan tiba tiba buka pas orang sibuk sibuk ngeselin
positif,aplikasi yang bagus dan berguna untuk keperluan sehari hari,aplikasi yang bagus dan berguna untuk keperluan sehari hari, aplikasi yang bagus dan berguna untuk keperluan sehari hari , aplikasi bagus berguna keperluan sehari hari ,"['aplikasi', 'bagus', 'berguna', 'keperluan', 'sehari', 'hari']",aplikasi bagus guna perlu hari hari
negatif,Shopee Tolol cuma ganti pembayaran promo nya ke copot padahal bisa pake promo nya pembayaran apa aja.,shopee tolol cuma ganti pembayaran promo nya ke copot padahal bisa pake promo nya pembayaran apa aja, shopee tolol cuma ganti pembayaran promo nya ke copot padahal bisa pake promo nya pembayaran apa aja , shopee tolol cuma ganti pembayaran promo nya copot padahal pake promo nya pembayaran aja ,"['shopee', 'tolol', 'cuma', 'ganti', 'pembayaran', 'promo', 'nya', 'copot', 'padahal', 'pake', 'promo', 'nya', 'pembayaran', 'aja']",shopee tolol cuma ganti bayar promo nya copot padahal pake promo nya bayar aja
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
netral,smoga aplikasinya brjln dngn baikadnya👍,smoga aplikasinya brjln dngn baikadnya, smoga aplikasinya brjln dngn baikadnya , smoga aplikasinya brjln dngn baikadnya ,"['smoga', 'aplikasinya', 'brjln', 'dngn', 'baikadnya']",smoga aplikasi brjln dngn baikadnya
netral,belum di download,belum di download, belum di download , di download ,"['di', 'download']",di download
negatif,kelamaan proses pengiriman saldo,kelamaan proses pengiriman saldo, kelamaan proses pengiriman saldo , kelamaan proses pengiriman saldo ,"['kelamaan', 'proses', 'pengiriman', 'saldo']",lama proses kirim saldo
netral,ulasan .,ulasan, ulasan , ulasan ,['ulasan'],ulas
positif,mantap la pokoknya,mantap la pokoknya, mantap la pokoknya , mantap la pokoknya ,"['mantap', 'la', 'pokoknya']",mantap la pokok
negatif,TDK sesuai realita,tdk sesuai realita, tidak sesuai realita , sesuai realita ,"['sesuai', 'realita']",sesuai realita
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
netral,"akun saya di batasi dengan alasan transaksi tidak wajar, tolong di perbaiki!",akun saya di batasi dengan alasan transaksi tidak wajar tolong di perbaiki, akun saya di batasi dengan alasan transaksi tidak wajar tolong di perbaiki , akun di batasi alasan transaksi wajar di perbaiki ,"['akun', 'di', 'batasi', 'alasan', 'transaksi', 'wajar', 'di', 'perbaiki']",akun di batas alas transaksi wajar di baik
positif,terbaik 😎,terbaik, terbaik , terbaik ,['terbaik'],baik
negatif,"Kenapa pesan instan dihilangkan? Merepotkan saja, tidak fleksibel makin lama makin di Update bikin tambah lemot, isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token sangat tolol!!!",kenapa pesan instan dihilangkan merepotkan saja tidak fleksibel makin lama makin di update bikin tambah lemot isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token sangat tolol, kenapa pesan instan dihilangkan merepotkan saja tidak fleksibel makin lama makin di update bikin tambah lemot isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token sangat tolol , pesan instan dihilangkan merepotkan tidak fleksibel makin lama makin update bikin tambah lemot isi token malah dihilangkan namanya bikin orang salah memasukan isi ulang token tolol ,"['pesan', 'instan', 'dihilangkan', 'merepotkan', 'tidak', 'fleksibel', 'makin', 'lama', 'makin', 'update', 'bikin', 'tambah', 'lemot', 'isi', 'token', 'malah', 'dihilangkan', 'namanya', 'bikin', 'orang', 'salah', 'memasukan', 'isi', 'ulang', 'token', 'tolol']",pesan instan hilang repot tidak fleksibel makin lama makin update bikin tambah lot isi token malah hilang nama bikin orang salah pasu isi ulang token tolol
positif,apk nya sangat baguus,apk nya sangat baguus, apk nya sangat baguus , apk nya baguus ,"['apk', 'nya', 'baguus']",apk nya baguus
positif,bagusssss👍,bagusssss, bagusssss , bagusssss ,['bagusssss'],bagusssss
positif,mantap pro,mantap pro, mantap pro , mantap pro ,"['mantap', 'pro']",mantap pro
positif,tempat belanja paling komplit se dunia,tempat belanja paling komplit se dunia, tempat belanja paling komplit se dunia , tempat belanja paling komplit se dunia ,"['tempat', 'belanja', 'paling', 'komplit', 'se', 'dunia']",tempat belanja paling komplit se dunia
netral,"Terima kasih shopee, semoga all team di berikan kesehatan selalu,semakin sukses, sejahtera dan jaya.",terima kasih shopee semoga all team di berikan kesehatan selalusemakin sukses sejahtera dan jaya, terima kasih shopee semoga all team di berikan kesehatan selalusemakin sukses sejahtera dan jaya , terima kasih shopee semoga all team berikan kesehatan selalusemakin sukses sejahtera jaya ,"['terima', 'kasih', 'shopee', 'semoga', 'all', 'team', 'berikan', 'kesehatan', 'selalusemakin', 'sukses', 'sejahtera', 'jaya']",terima kasih shopee moga all team ikan sehat selalusemakin sukses sejahtera jaya
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
positif,saya suka shopee bagus,saya suka shopee bagus, saya suka shopee bagus , suka shopee bagus ,"['suka', 'shopee', 'bagus']",suka shopee bagus
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,"belanja di shopee sangat memuaskan, apalagi sekarang voucher gratis ongkir 0 Rp buuuanyak bgt ... pertahankan agar semakin banyak pelanggan yang puas.",belanja di shopee sangat memuaskan apalagi sekarang voucher gratis ongkir 0 rp buuuanyak bgt pertahankan agar semakin banyak pelanggan yang puas, belanja di shopee sangat memuaskan apalagi sekarang voucher gratis ongkir 0 rp buuuanyak bgt pertahankan agar semakin banyak pelanggan yang puas , belanja shopee memuaskan sekarang voucher gratis ongkir 0 rp buuuanyak bgt pertahankan semakin pelanggan puas ,"['belanja', 'shopee', 'memuaskan', 'sekarang', 'voucher', 'gratis', 'ongkir', '0', 'rp', 'buuuanyak', 'bgt', 'pertahankan', 'semakin', 'pelanggan', 'puas']",belanja shopee muas sekarang voucher gratis ongkir 0 rp buuuanyak bgt tahan makin langgan puas
