label,content,clean,norm,stop,token,stem
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,data dibobol penipu,data dibobol penipu, data dibobol penipu , data dibobol penipu ,"['data', 'dibobol', 'penipu']",data bobol tipu
positif,Masih yang terbaik cod nya,masih yang terbaik cod nya, masih yang terbaik cod nya , yang terbaik cod nya ,"['yang', 'terbaik', 'cod', 'nya']",yang baik cod nya
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
negatif,parah udah ga ada gratis ongkir😩,parah udah ga ada gratis ongkir, parah udah tidak ada gratis ongkir , parah udah ada gratis ongkir ,"['parah', 'udah', 'ada', 'gratis', 'ongkir']",parah udah ada gratis ongkir
negatif,mengganggu,mengganggu, mengganggu , mengganggu ,['mengganggu'],ganggu
netral,SELESAI,selesai, selesai , selesai ,['selesai'],selesai
negatif,Harganya terlalu mahal bisa di murahin sedikit harganya,harganya terlalu mahal bisa di murahin sedikit harganya, harganya terlalu mahal bisa di murahin sedikit harganya , harganya terlalu mahal di murahin sedikit harganya ,"['harganya', 'terlalu', 'mahal', 'di', 'murahin', 'sedikit', 'harganya']",harga terlalu mahal di murahin sedikit harga
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
positif,OK mantap,ok mantap, ok mantap , mantap ,['mantap'],mantap
positif,mantap bisa hemat belanja online,mantap bisa hemat belanja online, mantap bisa hemat belanja online , mantap hemat belanja online ,"['mantap', 'hemat', 'belanja', 'online']",mantap hemat belanja online
positif,aplikasi bagus dan saya suka belanja di sini . pengiriman sangat cepat,aplikasi bagus dan saya suka belanja di sini pengiriman sangat cepat, aplikasi bagus dan saya suka belanja di sini pengiriman sangat cepat , aplikasi bagus saya suka belanja sini pengiriman cepat ,"['aplikasi', 'bagus', 'saya', 'suka', 'belanja', 'sini', 'pengiriman', 'cepat']",aplikasi bagus saya suka belanja sini kirim cepat
positif,ok,ok, ok , ,[],
positif,barang sesuai pesanan,barang sesuai pesanan, barang sesuai pesanan , barang sesuai pesanan ,"['barang', 'sesuai', 'pesanan']",barang sesuai pesan
positif,slalu sesuai dengan pesanan,slalu sesuai dengan pesanan, slalu sesuai dengan pesanan , slalu sesuai pesanan ,"['slalu', 'sesuai', 'pesanan']",slalu sesuai pesan
positif,pengiriman ok,pengiriman ok, pengiriman ok , pengiriman ,['pengiriman'],kirim
negatif,"ongkir nya mahal banget bisa sampe 40k ke atas, ongkirnya melebihi harga barang",ongkir nya mahal banget bisa sampe 40k ke atas ongkirnya melebihi harga barang, ongkir nya mahal banget bisa sampe 40k ke atas ongkirnya melebihi harga barang , ongkir nya mahal banget sampe 40k atas ongkirnya melebihi harga barang ,"['ongkir', 'nya', 'mahal', 'banget', 'sampe', '40k', 'atas', 'ongkirnya', 'melebihi', 'harga', 'barang']",ongkir nya mahal banget sampe 40k atas ongkirnya lebih harga barang
positif,ok,ok, ok , ,[],
negatif,update terus malah tambah lelet,update terus malah tambah lelet, update terus malah tambah lelet , update terus malah tambah lelet ,"['update', 'terus', 'malah', 'tambah', 'lelet']",update terus malah tambah lelet
positif,oke bangat👍👍👍👍,oke bangat, oke bangat , oke bangat ,"['oke', 'bangat']",oke bangat
positif,Beri layanan kualitas terbaik kepada konsumen,beri layanan kualitas terbaik kepada konsumen, beri layanan kualitas terbaik kepada konsumen , beri layanan kualitas terbaik konsumen ,"['beri', 'layanan', 'kualitas', 'terbaik', 'konsumen']",beri layan kualitas baik konsumen
negatif,kalo bikin iklan itu yang bener bangst,kalo bikin iklan itu yang bener bangst, kalo bikin iklan itu yang bener bangst , kalo bikin iklan yang bener bangst ,"['kalo', 'bikin', 'iklan', 'yang', 'bener', 'bangst']",kalo bikin iklan yang bener bangst
negatif,Hati hati sekarang belanja di lazada tidak aman lagi karena pilihan ekspedisi hanya ninja yang reputasinya kurang bagus. Data resi saya bocor digunakan untuk penipuan scan barcode dengan alasan barang tertukar. Selamat tinggal untuk lazada,hati hati sekarang belanja di lazada tidak aman lagi karena pilihan ekspedisi hanya ninja yang reputasinya kurang bagus data resi saya bocor digunakan untuk penipuan scan barcode dengan alasan barang tertukar selamat tinggal untuk lazada, hati hati sekarang belanja di lazada tidak aman lagi karena pilihan ekspedisi hanya ninja yang reputasinya kurang bagus data resi saya bocor digunakan untuk penipuan scan barcode dengan alasan barang tertukar selamat tinggal untuk lazada , hati hati sekarang belanja lazada aman karena pilihan ekspedisi ninja reputasinya kurang bagus data resi bocor digunakan penipuan scan barcode alasan barang tertukar selamat tinggal lazada ,"['hati', 'hati', 'sekarang', 'belanja', 'lazada', 'aman', 'karena', 'pilihan', 'ekspedisi', 'ninja', 'reputasinya', 'kurang', 'bagus', 'data', 'resi', 'bocor', 'digunakan', 'penipuan', 'scan', 'barcode', 'alasan', 'barang', 'tertukar', 'selamat', 'tinggal', 'lazada']",hati hati sekarang belanja lazada aman karena pilih ekspedisi ninja reputasi kurang bagus data resi bocor guna tipu scan barcode alas barang tukar selamat tinggal lazada
positif,terima kasih lazada,terima kasih lazada, terima kasih lazada , terima kasih lazada ,"['terima', 'kasih', 'lazada']",terima kasih lazada
positif,semoga dpat membntu,semoga dpat membntu, semoga dpat membntu , semoga dpat membntu ,"['semoga', 'dpat', 'membntu']",moga dpat membntu
negatif,kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat dan selalu gagal kirim tolong kepada pihak kurir segera di atasi masalah ini agar nyaman dlam belanja online,kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat dan selalu gagal kirim tolong kepada pihak kurir segera di atasi masalah ini agar nyaman dlam belanja online, kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat dan selalu gagal kirim tolong kepada pihak kurir segera di atasi masalah ini agar nyaman dlam belanja online , kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat selalu gagal kirim kepada pihak kurir segera atasi masalah agar nyaman dlam belanja online ,"['kabupaten', 'tangerang', 'kecamatan', 'sukadiri', 'pengiriman', 'paket', 'selalu', 'telat', 'selalu', 'gagal', 'kirim', 'kepada', 'pihak', 'kurir', 'segera', 'atasi', 'masalah', 'agar', 'nyaman', 'dlam', 'belanja', 'online']",kabupaten tangerang camat sukadiri kirim paket selalu telat selalu gagal kirim kepada pihak kurir segera atas masalah agar nyaman dlam belanja online
negatif,mohon di percepat pesanan kami,mohon di percepat pesanan kami, mohon di percepat pesanan kami , mohon percepat pesanan ,"['mohon', 'percepat', 'pesanan']",mohon cepat pesan
negatif,banyak toko penipu. mending di shopee. pasti pasti aja toko nya. klo disini banyak penipu nya.,banyak toko penipu mending di shopee pasti pasti aja toko nya klo disini banyak penipu nya, banyak toko penipu mending di shopee pasti pasti aja toko nya klo disini banyak penipu nya , toko penipu mending shopee pasti aja toko nya klo disini penipu nya ,"['toko', 'penipu', 'mending', 'shopee', 'pasti', 'aja', 'toko', 'nya', 'klo', 'disini', 'penipu', 'nya']",toko tipu mending shopee pasti aja toko nya klo sini tipu nya
positif,lazada keren,lazada keren, lazada keren , lazada keren ,"['lazada', 'keren']",lazada keren
negatif,barang belum datang ke tempat malah di batalkan dan di kembalikan ke penjual udah gitu tombol batalnya juga di batalin sendiri dan diganti harus bayar dulu lewat pembayaran non tunai dan di batalkan tidak bisa dilanjutkan juga ga datang datang padahal bbayarnya bisa ke kurir kalau barang udah datang,barang belum datang ke tempat malah di batalkan dan di kembalikan ke penjual udah gitu tombol batalnya juga di batalin sendiri dan diganti harus bayar dulu lewat pembayaran non tunai dan di batalkan tidak bisa dilanjutkan juga ga datang datang padahal bbayarnya bisa ke kurir kalau barang udah datang, barang belum datang ke tempat malah di batalkan dan di kembalikan ke penjual udah gitu tombol batalnya juga di batalin sendiri dan diganti harus bayar dulu lewat pembayaran non tunai dan di batalkan tidak bisa dilanjutkan juga tidak datang datang padahal bbayarnya bisa ke kurir kalau barang udah datang , barang datang tempat malah batalkan di kembalikan penjual udah gitu tombol batalnya di batalin sendiri diganti bayar dulu lewat pembayaran non tunai di batalkan dilanjutkan tidak datang datang padahal bbayarnya bisa ke kurir barang udah datang ,"['barang', 'datang', 'tempat', 'malah', 'batalkan', 'di', 'kembalikan', 'penjual', 'udah', 'gitu', 'tombol', 'batalnya', 'di', 'batalin', 'sendiri', 'diganti', 'bayar', 'dulu', 'lewat', 'pembayaran', 'non', 'tunai', 'di', 'batalkan', 'dilanjutkan', 'tidak', 'datang', 'datang', 'padahal', 'bbayarnya', 'bisa', 'ke', 'kurir', 'barang', 'udah', 'datang']",barang datang tempat malah batal di kembali jual udah gitu tombol batal di batalin sendiri ganti bayar dulu lewat bayar non tunai di batal lanjut tidak datang datang padahal bbayarnya bisa ke kurir barang udah datang
negatif,"anjir kena penipuan bisa""nya lazada lolosin",anjir kena penipuan bisanya lazada lolosin, anjir kena penipuan bisanya lazada lolosin , anjir kena penipuan bisanya lazada lolosin ,"['anjir', 'kena', 'penipuan', 'bisanya', 'lazada', 'lolosin']",anjir kena tipu bisa lazada lolosin
positif,mantap.,mantap, mantap , mantap ,['mantap'],mantap
negatif,"respon pengajuan masalah sangat lambat, pada no baru tetapi akun langsung terkunci",respon pengajuan masalah sangat lambat pada no baru tetapi akun langsung terkunci, respon pengajuan masalah sangat lambat pada no baru tetapi akun langsung terkunci , respon pengajuan masalah lambat no tetapi akun langsung terkunci ,"['respon', 'pengajuan', 'masalah', 'lambat', 'no', 'tetapi', 'akun', 'langsung', 'terkunci']",respon aju masalah lambat no tetapi akun langsung kunci
negatif,Aplikasi membagongkan untuk daftar aja susah bgt .baru daftar akun ke kunci padahal hp baru no baru akun baru.nyesel download aplikasi ini.,aplikasi membagongkan untuk daftar aja susah bgt baru daftar akun ke kunci padahal hp baru no baru akun barunyesel download aplikasi ini, aplikasi membagongkan untuk daftar aja susah bgt baru daftar akun ke kunci padahal hp baru no baru akun barunyesel download aplikasi ini , aplikasi membagongkan daftar aja susah bgt daftar akun kunci padahal hp no akun barunyesel download aplikasi ,"['aplikasi', 'membagongkan', 'daftar', 'aja', 'susah', 'bgt', 'daftar', 'akun', 'kunci', 'padahal', 'hp', 'no', 'akun', 'barunyesel', 'download', 'aplikasi']",aplikasi bagong daftar aja susah bgt daftar akun kunci padahal hp no akun barunyesel download aplikasi
netral,👍,,  ,  ,[],
negatif,"lazada mahal Ongkir ga prnh turun, barang mahal mahal, banyak seler tipuan,ga amanah👎",lazada mahal ongkir ga prnh turun barang mahal mahal banyak seler tipuanga amanah, lazada mahal ongkir tidak prnh turun barang mahal mahal banyak seler tipuanga amanah , lazada mahal ongkir prnh turun barang mahal mahal seler tipuanga amanah ,"['lazada', 'mahal', 'ongkir', 'prnh', 'turun', 'barang', 'mahal', 'mahal', 'seler', 'tipuanga', 'amanah']",lazada mahal ongkir prnh turun barang mahal mahal seler tipuanga amanah
netral,Jagan bikin saya kecewa KK,jagan bikin saya kecewa kk, jagan bikin saya kecewa kk , jagan bikin kecewa kk ,"['jagan', 'bikin', 'kecewa', 'kk']",jagan bikin kecewa kk
negatif,"tolong di tertibkan utk pengiriman ninja van express yg selalu salah input dan mengganggu dan menghambat dalam pengiriman,berikan pilihan buat konsumen dlm memilih pengiriman..",tolong di tertibkan utk pengiriman ninja van express yg selalu salah input dan mengganggu dan menghambat dalam pengirimanberikan pilihan buat konsumen dlm memilih pengiriman, tolong di tertibkan utk pengiriman ninja van express yang selalu salah input dan mengganggu dan menghambat dalam pengirimanberikan pilihan buat konsumen dlm memilih pengiriman , di tertibkan utk pengiriman ninja van express selalu salah input mengganggu menghambat pengirimanberikan pilihan buat konsumen dlm memilih pengiriman ,"['di', 'tertibkan', 'utk', 'pengiriman', 'ninja', 'van', 'express', 'selalu', 'salah', 'input', 'mengganggu', 'menghambat', 'pengirimanberikan', 'pilihan', 'buat', 'konsumen', 'dlm', 'memilih', 'pengiriman']",di tertib utk kirim ninja van express selalu salah input ganggu hambat pengirimanberikan pilih buat konsumen dlm pilih kirim
netral,"belanja mudah,,proses cepat dan kalau ada keluhan langsung di tanggapi,,,cuma satu saya minta toko yg tidak amanah jangan ada di lazada,,karna konsumen bayak yg mengeluh",belanja mudahproses cepat dan kalau ada keluhan langsung di tanggapicuma satu saya minta toko yg tidak amanah jangan ada di lazadakarna konsumen bayak yg mengeluh, belanja mudahproses cepat dan kalau ada keluhan langsung di tanggapicuma satu saya minta toko yang tidak amanah jangan ada di lazadakarna konsumen bayak yang mengeluh , belanja mudahproses cepat kalau keluhan langsung tanggapicuma satu minta toko tidak amanah jangan di lazadakarna konsumen bayak mengeluh ,"['belanja', 'mudahproses', 'cepat', 'kalau', 'keluhan', 'langsung', 'tanggapicuma', 'satu', 'minta', 'toko', 'tidak', 'amanah', 'jangan', 'di', 'lazadakarna', 'konsumen', 'bayak', 'mengeluh']",belanja mudahproses cepat kalau keluh langsung tanggapicuma satu minta toko tidak amanah jangan di lazadakarna konsumen bayak keluh
netral,mohon segera tutup toko yang bernama td21store sudah banyak korban yang ditimbulkan dari toko tersebut karena selalu mengirim barang yang tidak sesuai dengan apa yang dipesan,mohon segera tutup toko yang bernama td21store sudah banyak korban yang ditimbulkan dari toko tersebut karena selalu mengirim barang yang tidak sesuai dengan apa yang dipesan, mohon segera tutup toko yang bernama td21store sudah banyak korban yang ditimbulkan dari toko tersebut karena selalu mengirim barang yang tidak sesuai dengan apa yang dipesan , mohon segera tutup toko bernama td21store banyak korban ditimbulkan toko tersebut selalu mengirim barang tidak sesuai apa dipesan ,"['mohon', 'segera', 'tutup', 'toko', 'bernama', 'td21store', 'banyak', 'korban', 'ditimbulkan', 'toko', 'tersebut', 'selalu', 'mengirim', 'barang', 'tidak', 'sesuai', 'apa', 'dipesan']",mohon segera tutup toko nama td21store banyak korban timbul toko sebut selalu kirim barang tidak sesuai apa pes
positif,Oke oke,oke oke, oke oke , oke oke ,"['oke', 'oke']",oke oke
negatif,aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang dan ditulisan nya akun anda terkunci sampai 9 akun sama ajah 😩😟,aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang dan ditulisan nya akun anda terkunci sampai 9 akun sama ajah, aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang dan ditulisan nya akun anda terkunci sampai 9 akun sama ajah , aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang ditulisan nya akun terkunci 9 akun sama ajah ,"['aplikasinya', 'aneh', 'aku', 'mau', 'daftar', 'akun', 'aku', 'selalu', 'suruh', 'telepon', 'orang', 'ditulisan', 'nya', 'akun', 'terkunci', '9', 'akun', 'sama', 'ajah']",aplikasi aneh aku mau daftar akun aku selalu suruh telepon orang tulis nya akun kunci 9 akun sama ajah
negatif,sekarang LAZADA udah tidak seperti dulu.....sekarang udah banyak toko penipu...dan heran nya selalu di diemin aja....kecewa dengan LAZADA yg sekarang isi nya toko bodong.,sekarang lazada udah tidak seperti dulusekarang udah banyak toko penipudan heran nya selalu di diemin ajakecewa dengan lazada yg sekarang isi nya toko bodong, sekarang lazada udah tidak seperti dulusekarang udah banyak toko penipudan heran nya selalu di diemin ajakecewa dengan lazada yang sekarang isi nya toko bodong , sekarang lazada udah seperti dulusekarang udah toko penipudan heran nya selalu diemin ajakecewa lazada sekarang isi nya toko bodong ,"['sekarang', 'lazada', 'udah', 'seperti', 'dulusekarang', 'udah', 'toko', 'penipudan', 'heran', 'nya', 'selalu', 'diemin', 'ajakecewa', 'lazada', 'sekarang', 'isi', 'nya', 'toko', 'bodong']",sekarang lazada udah seperti dulusekarang udah toko penipudan heran nya selalu diemin ajakecewa lazada sekarang isi nya toko bodong
positif,terbaik,terbaik, terbaik , terbaik ,['terbaik'],baik
positif,"gampang fitur menu nya,bnyk promo,yg pasti selalu update yang terbaru di setiap pelayanannya kepada konsumennya",gampang fitur menu nyabnyk promoyg pasti selalu update yang terbaru di setiap pelayanannya kepada konsumennya, gampang fitur menu nyabnyk promoyg pasti selalu update yang terbaru di setiap pelayanannya kepada konsumennya , gampang fitur menu nyabnyk promoyg selalu update terbaru setiap pelayanannya konsumennya ,"['gampang', 'fitur', 'menu', 'nyabnyk', 'promoyg', 'selalu', 'update', 'terbaru', 'setiap', 'pelayanannya', 'konsumennya']",gampang fitur menu nyabnyk promoyg selalu update baru tiap layan konsumen
negatif,"satu toko tapi berat di ongkir, ongkir 2rb pas di cek out ongkir 39rb padahal satu toko",satu toko tapi berat di ongkir ongkir 2rb pas di cek out ongkir 39rb padahal satu toko, satu toko tapi berat di ongkir ongkir 2rb pas di cek out ongkir 39rb padahal satu toko , satu toko berat ongkir ongkir 2rb pas cek out ongkir 39rb padahal satu toko ,"['satu', 'toko', 'berat', 'ongkir', 'ongkir', '2rb', 'pas', 'cek', 'out', 'ongkir', '39rb', 'padahal', 'satu', 'toko']",satu toko berat ongkir ongkir 2rb pas cek out ongkir 39rb padahal satu toko
positif,bgus skli,bgus skli, bgus skli , bgus skli ,"['bgus', 'skli']",bgus skli
positif,mangga dkirim cepat,mangga dkirim cepat, mangga dkirim cepat , mangga dkirim cepat ,"['mangga', 'dkirim', 'cepat']",mangga dkirim cepat
negatif,beli pulsa ga masuk masuk aplikasi tolol,beli pulsa ga masuk masuk aplikasi tolol, beli pulsa tidak masuk masuk aplikasi tolol , beli pulsa masuk masuk aplikasi tolol ,"['beli', 'pulsa', 'masuk', 'masuk', 'aplikasi', 'tolol']",beli pulsa masuk masuk aplikasi tolol
positif,oke,oke, oke , oke ,['oke'],oke
negatif,"lazada dulunya adalah pemimpin dari semua marketplace,tp sekarang jauh tertinggal dari pesaingnya diasean.karna mutu menejementnya kurang baik.saya bertahun2 belanja tidak sedikit jumlahnya dan paylater juga tidak pernah bermasalah.tapi knapa pengajuan lazbon tidak bisa ? hanya ditambah dan ditambah limitnya tidak pernah bisa dipakai artinya hanya PHP alias pamer doang.bagaimana bisa bersaing boss...???",lazada dulunya adalah pemimpin dari semua marketplacetp sekarang jauh tertinggal dari pesaingnya diaseankarna mutu menejementnya kurang baiksaya bertahun2 belanja tidak sedikit jumlahnya dan paylater juga tidak pernah bermasalahtapi knapa pengajuan lazbon tidak bisa hanya ditambah dan ditambah limitnya tidak pernah bisa dipakai artinya hanya php alias pamer doangbagaimana bisa bersaing boss, lazada dulunya adalah pemimpin dari semua marketplacetp sekarang jauh tertinggal dari pesaingnya diaseankarna mutu menejementnya kurang baiksaya bertahun2 belanja tidak sedikit jumlahnya dan paylater juga tidak pernah bermasalahtapi knapa pengajuan lazbon tidak bisa hanya ditambah dan ditambah limitnya tidak pernah bisa dipakai artinya hanya php alias pamer doangbagaimana bisa bersaing boss , lazada adalah pemimpin semua marketplacetp sekarang jauh tertinggal pesaingnya diaseankarna mutu menejementnya kurang baiksaya bertahun2 belanja sedikit jumlahnya paylater pernah bermasalahtapi knapa pengajuan lazbon ditambah ditambah limitnya tidak pernah dipakai artinya php alias pamer doangbagaimana bisa bersaing boss ,"['lazada', 'adalah', 'pemimpin', 'semua', 'marketplacetp', 'sekarang', 'jauh', 'tertinggal', 'pesaingnya', 'diaseankarna', 'mutu', 'menejementnya', 'kurang', 'baiksaya', 'bertahun2', 'belanja', 'sedikit', 'jumlahnya', 'paylater', 'pernah', 'bermasalahtapi', 'knapa', 'pengajuan', 'lazbon', 'ditambah', 'ditambah', 'limitnya', 'tidak', 'pernah', 'dipakai', 'artinya', 'php', 'alias', 'pamer', 'doangbagaimana', 'bisa', 'bersaing', 'boss']",lazada adalah pimpin semua marketplacetp sekarang jauh tinggal saing diaseankarna mutu menejementnya kurang baiksaya bertahun2 belanja sedikit jumlah paylater pernah bermasalahtapi knapa aju lazbon tambah tambah limit tidak pernah pakai arti php alias pamer doangbagaimana bisa saing boss
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
netral,smoga sllu amanah,smoga sllu amanah, smoga sllu amanah , smoga sllu amanah ,"['smoga', 'sllu', 'amanah']",smoga sllu amanah
